study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
17,1698,255,28,27,1315,936,379,2.382875517026463,5.182775228058247,60.642857142857146,17.0,9.444444444444445,6.0,0.16394968951148725,-0.6430060931677508,0.22240240151441068,-0.5663214404006562,27,0,33,3,0,0,0,44,23,365,232,110,109
9,4369,904,49,49,3180,2317,866,1.1775386544490019,4.3391560163973955,89.16326530612245,43.0,18.448979591836736,6.0,0.2229766187050361,-0.64004237754065,0.22368725279578835,-0.5697478742944144,89,10,112,9,0,0,0,61,47,766,619,261,210
18,2661,765,79,79,1995,1432,563,2.5436850292858892,5.5375861482636495,33.68354430379747,19.0,9.683544303797468,2.0,0.1419387384583463,-0.6338204556206495,0.21499216071030217,-0.566953545265404,34,4,65,6,0,0,0,47,25,475,420,137,166
19,2933,775,63,63,2178,1515,666,2.354203855418456,5.385145970463711,46.57142857142857,26.0,12.301587301587302,4.0,0.14107572914223154,-0.6362730669424751,0.21733126036587092,-0.567476596306792,56,5,42,3,0,0,0,48,48,517,442,193,205
20,2104,551,48,48,1618,1131,490,2.1641225883165216,5.186764348637695,43.833333333333336,18.0,11.479166666666666,6.5,0.13765735168174198,-0.6336606030651168,0.2230534763126351,-0.5757686695729279,46,1,66,5,0,0,0,47,20,442,319,98,144
21,1734,588,45,45,1299,903,396,1.742875554224943,4.788566214732761,38.53333333333333,26.0,13.066666666666666,5.0,0.14255598072562356,-0.6380732533214056,0.22467077169693794,-0.5747720979786778,64,7,46,28,0,0,0,15,8,306,275,93,97
22,2728,1334,89,91,2076,1496,583,2.363589161680766,5.317240905027165,30.651685393258425,19.0,14.659340659340659,6.0,0.09122045578942133,-0.6327671151020349,0.22233624700203178,-0.5765495373142732,65,1,57,11,0,0,0,51,23,514,434,173,192
23,1814,255,31,31,1409,1018,394,2.2112196199734893,5.219796730004419,58.516129032258064,37.0,8.225806451612904,4.0,0.2332784780578897,-0.6418942428259388,0.226358668425198,-0.5670697389890509,19,2,36,6,0,0,0,26,28,348,285,109,108
24,1507,388,37,38,1139,781,358,1.3815935672514623,4.715204678362573,40.729729729729726,32.0,10.210526315789474,5.0,0.06148609290811127,-0.6403230223255361,0.22517248050265556,-0.5722468311641337,54,6,37,10,0,0,0,37,12,319,191,93,92
25,1352,487,44,45,1025,719,308,2.397921336654214,5.473432959734329,30.727272727272727,20.5,10.822222222222223,4.0,0.12224474474474473,-0.6372007589325429,0.22371189136469696,-0.5709405145876362,19,0,31,4,0,0,0,24,15,232,244,79,90
26,2571,646,79,80,1993,1417,577,2.3780604902466465,5.361306196994935,32.54430379746835,21.0,8.075,2.0,0.2624585034013605,-0.6372964616531814,0.2244816322587395,-0.5741310154699925,58,6,80,15,0,0,0,38,25,506,388,130,168
27,1621,324,26,26,1266,921,345,3.7438925628509967,6.905463706502913,62.34615384615385,24.5,12.461538461538462,10.0,0.09026307804345188,-0.6386657634812849,0.2220066270820845,-0.5711183268576379,44,4,37,1,0,0,0,46,22,313,250,111,111
28,2495,633,56,56,1852,1328,524,1.5010895511459346,4.601304111914056,44.55357142857143,21.0,11.303571428571429,9.0,0.14473197278911565,-0.6352765560941139,0.22187066475771985,-0.5718729178135994,46,2,66,7,0,0,0,56,28,475,354,154,170
29,995,363,24,23,765,535,232,3.7813992784399684,7.260178715501363,41.458333333333336,25.0,15.782608695652174,12.0,0.0012593370681605973,-0.6399379053924997,0.22656934152489575,-0.5730493689667796,19,0,13,3,0,0,0,39,13,176,158,65,74
30,3638,562,71,72,2688,1938,750,1.6719450416202406,4.526144065019335,51.25352112676056,28.0,7.805555555555555,4.0,0.13898047160843366,-0.6338453885273071,0.2222641388342741,-0.5749616606238975,37,2,100,10,0,1,0,55,22,608,638,203,208
31,3933,516,46,45,3087,2193,897,4.6797704419483015,7.822461523368964,85.5,37.5,11.466666666666667,8.0,0.1120183419011544,-0.6380435097384546,0.22030943711376327,-0.5683914359031959,71,13,59,13,0,0,0,54,43,768,610,261,255
32,1134,191,38,37,811,549,262,1.4420690970346115,4.217792327495789,29.842105263157894,14.0,5.162162162162162,3.0,0.25608710562414266,-0.6411371743656827,0.22228716700728246,-0.5694861689192341,10,2,25,1,0,0,0,11,13,195,204,60,75
33,2445,263,44,45,1899,1439,460,3.0786295707733995,6.180139589903199,55.56818181818182,24.5,5.844444444444444,2.0,0.14351731601731604,-0.6384518053569248,0.22346177638390566,-0.5706153351065114,28,2,50,3,0,1,0,44,10,492,361,158,152
34,3147,473,48,48,2444,1727,720,3.131368039294669,6.496031138279398,65.5625,23.5,9.854166666666666,4.0,0.10751963905551347,-0.6342999867248298,0.2220777311337151,-0.5727790315479165,78,7,65,8,0,0,0,32,39,573,488,176,203
35,1505,401,33,32,1093,768,326,1.0302401266190309,3.7737789973496163,45.60606060606061,13.0,12.53125,5.0,0.13210274327122154,-0.6497513768633909,0.22474800705638073,-0.5588881974511848,24,2,17,4,0,0,0,32,13,292,241,86,84
36,2001,315,39,39,1495,1089,406,1.071932807373555,4.306051698306435,51.30769230769231,19.0,8.076923076923077,4.0,0.10578267727104933,-0.6381216003072613,0.2252081900441098,-0.5726595420330243,25,4,57,7,0,0,0,31,33,376,318,121,105
37,2062,396,43,42,1551,1094,457,1.3051259791786798,4.1267772163631635,47.95348837209303,25.0,9.428571428571429,3.0,0.1368414918414919,-0.6414594708537894,0.22321715750516136,-0.5667974960988283,48,0,43,9,0,0,0,42,22,384,337,137,139
38,2121,375,41,40,1598,1162,436,1.5017919184290047,4.474345417925479,51.73170731707317,20.0,9.375,7.0,0.10681247442441473,-0.6342284873709878,0.2125704117983284,-0.5652706780159402,46,0,55,10,0,0,0,40,16,413,292,126,122
