study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
91,2681,486,46,46,1930,1468,463,0.727045308335633,3.85612841956928,58.28260869565217,35.5,10.565217391304348,6.0,0.14461320670590333,-0.638465232611068,0.22230983911065982,-0.5677033533595625,41,1,76,10,0,0,0,39,18,497,361,137,170
92,3064,559,50,51,2317,1642,678,1.6466244422576626,4.658991413126997,61.28,24.0,10.96078431372549,5.0,0.07634146023729357,-0.6351053027017253,0.22212084822448827,-0.5735936429371392,76,3,58,17,0,1,0,62,36,561,458,182,187
93,2386,556,27,26,1815,1337,478,2.487102510436838,5.6555237445017745,88.37037037037037,36.0,21.384615384615383,13.0,0.12636835386835385,-0.6371761335426473,0.22273342672853405,-0.570339713737105,43,0,52,8,0,0,0,23,18,385,366,120,165
94,929,260,41,42,683,496,187,2.2005398010869968,4.987175410704822,22.658536585365855,21.0,6.190476190476191,3.0,0.11034580498866213,-0.6377851643435792,0.21713498099642717,-0.5653031399563764,12,0,27,2,0,0,0,19,9,180,145,53,46
95,2106,229,28,28,1586,1119,468,1.7929164894288014,4.445871995634815,75.21428571428571,75.5,8.178571428571429,4.0,0.12523099296536794,-0.6390469208011857,0.21898930810591263,-0.5661057664482817,44,1,47,10,0,0,0,36,7,399,309,145,112
96,3521,267,51,51,2561,1826,739,1.5915338858980714,4.79950353710599,69.03921568627452,52.0,5.235294117647059,3.0,0.1646127877018681,-0.6382730259933801,0.2257983028567717,-0.5741004084565096,59,15,75,14,0,0,0,68,44,619,511,232,244
97,1699,252,43,42,1241,913,329,1.2644936339929451,4.085724804417856,39.51162790697674,14.0,6.0,3.5,0.15891657981935758,-0.6371159557520704,0.22210253531844645,-0.5702783289913089,23,0,60,5,0,0,0,42,13,327,248,91,96
98,1985,267,26,26,1557,1161,396,2.7853857183825657,5.8361150941592586,76.34615384615384,41.5,10.26923076923077,7.0,0.12403515450067172,-0.6435008615464947,0.22139523843757408,-0.5645632676903036,26,1,40,4,0,0,0,44,16,369,263,144,147
99,1947,210,28,28,1502,1078,424,2.7316478956002275,5.396601620840781,69.53571428571429,24.5,7.5,4.5,0.19444766668067634,-0.6288268914810078,0.21657711809667135,-0.5749183072793659,21,4,47,6,0,0,0,49,17,381,290,105,134
100,2259,265,32,32,1749,1215,534,2.920768669169796,5.5009535729185295,70.59375,42.5,8.28125,2.0,0.14238600779417104,-0.6424720703365648,0.22232420984071816,-0.5671142009048996,15,0,27,11,0,0,0,55,23,418,390,153,137
101,1098,397,33,33,838,582,257,2.2425303156327985,5.108978680558597,33.27272727272727,17.0,12.030303030303031,6.0,0.12668022905364676,-0.6334281396109105,0.22130493810388455,-0.5768557142527019,27,0,36,19,0,0,0,20,6,197,162,87,65
102,1724,364,32,32,1278,857,421,1.2260378434421995,3.6975911525833767,53.875,37.0,11.375,7.0,0.1241341189674523,-0.6367984100944951,0.22208766709491903,-0.5706198024834703,75,0,51,3,0,3,0,30,15,400,205,106,106
103,1520,480,40,40,1146,822,325,1.2641237694831844,4.575567930838645,38.0,22.0,12.0,7.0,0.19504178989327506,-0.6346928492951814,0.21814309647790436,-0.5686875465861326,20,2,30,10,0,2,0,48,29,271,216,73,89
104,3699,558,58,57,2764,2043,722,1.0996908676968324,3.992715013062582,63.775862068965516,33.5,9.789473684210526,4.0,0.1078144332092671,-0.638775265555369,0.22306998057994404,-0.5689294711313688,69,4,127,9,0,0,0,67,26,709,458,243,264
